股票代码,股票简称,最新价,最新涨跌幅,个股热度[20251128],个股热度排名[20251128],market_code,code
600802.SH,福建水泥,7.49,9.985315712,48785.0,143,17,600802
301171.SZ,易点天下,42.02,-5.594248483,48719.0,144,33,301171
600103.SH,青山纸业,3.95,-1.985111663,48357.5,145,17,600103
001387.SZ,雪祺电气,15.3,-7.384987893,48106.5,146,33,001387
600319.SH,亚星化学,9.75,10.045146727,47854.0,147,17,600319
301111.SZ,粤万年青,22.84,-13.713638081,47791.0,148,33,301111
600118.SH,中国卫星,43.4,3.827751196,47523.0,149,17,600118
600556.SH,天下秀,6.87,4.090909091,47344.5,150,17,600556
002960.SZ,青鸟消防,11.55,3.217158177,46895.0,151,33,002960
601888.SH,中国中免,79.03,0.675159236,46717.0,152,17,601888
002594.SZ,比亚迪,95.17,0.933290911,46290.5,153,33,002594
601727.SH,上海电气,8.75,0.574712644,46190.0,154,17,601727
605598.SH,上海港湾,48.3,6.037321625,46101.5,155,17,605598
002153.SZ,石基信息,12.1,-0.65681445,45788.0,156,33,002153
603993.SH,洛阳钼业,16.23,1.755485893,45447.5,157,17,603993
002398.SZ,垒知集团,6.06,-1.782820097,45311.5,158,33,002398
600654.SH,中安科,4.15,-2.81030445,44952.0,159,17,600654
603999.SH,读者传媒,7.95,9.958506224,44939.0,160,17,603999
600362.SH,江西铜业,37.43,1.49132321,44883.5,161,17,600362
301638.SZ,南网数字,24.72,-4,44739.5,162,33,301638
600021.SH,上海电力,23.06,1.140350877,44522.0,163,17,600021
002241.SZ,歌尔股份,30.03,2.948234487,43584.5,164,33,002241
600855.SH,航天长峰,17.19,4.945054945,43397.0,165,17,600855
001318.SZ,阳光乳业,15.97,9.986225895,43375.5,166,33,001318
301136.SZ,招标股份,16.96,10.2014295,43161.0,167,33,301136
002600.SZ,领益智造,13.9,1.756954612,43057.5,168,33,002600
002353.SZ,杰瑞股份,56.43,10,42650.0,169,33,002353
600580.SH,卧龙电驱,41.55,0.873998543,42458.0,170,17,600580
601116.SH,三江购物,16.98,1.737567406,42404.5,171,17,601116
